tab:blue - (epsilon=0.02, avg_pckt=400, tot_time_avg_pckt=1000)
tab:orange - (epsilon=0.02, avg_pckt=500, tot_time_avg_pckt=1000)
tab:green - (epsilon=0.02, avg_pckt=600, tot_time_avg_pckt=1000)
tab:red - (epsilon=0.32, avg_pckt=400, tot_time_avg_pckt=1000)
tab:purple - (epsilon=0.32, avg_pckt=500, tot_time_avg_pckt=1000)
tab:brown - (epsilon=0.32, avg_pckt=600, tot_time_avg_pckt=1000)
tab:pink - (epsilon=0.02, avg_pckt=400, tot_time_avg_pckt=800)
tab:grey - (epsilon=0.02, avg_pckt=400, tot_time_avg_pckt=1200)
tab:olive - (epsilon=0.02, avg_pckt=600, tot_time_avg_pckt=800)
tab:cyan - (epsilon=0.02, avg_pckt=600, tot_time_avg_pckt=1200)
tab:blue - (epsilon=0.02, avg_pckt=800, tot_time_avg_pckt=800)
tab:orange - (epsilon=0.02, avg_pckt=800, tot_time_avg_pckt=1200)
tab:green - (epsilon=0.02, avg_pckt=800, tot_time_avg_pckt=1000)
tab:red - (epsilon=0.02, avg_pckt=600, tot_time_avg_pckt=600)
tab:purple - (epsilon=0.02, avg_pckt=500, tot_time_avg_pckt=800)
tab:brown - (epsilon=0.02, avg_pckt=500, tot_time_avg_pckt=1200)
tab:pink - (epsilon=0.62, avg_pckt=400, tot_time_avg_pckt=1000)
tab:grey - (epsilon=0.62, avg_pckt=500, tot_time_avg_pckt=1000)
tab:olive - (epsilon=0.62, avg_pckt=600, tot_time_avg_pckt=1000)
tab:cyan - (epsilon=0.8, avg_pckt=400, tot_time_avg_pckt=1000)
tab:blue - (epsilon=0.8, avg_pckt=500, tot_time_avg_pckt=1000)
tab:orange - (epsilon=0.8, avg_pckt=600, tot_time_avg_pckt=1000)
tab:green - (epsilon=0.62, avg_pckt=400, tot_time_avg_pckt=800)
tab:red - (epsilon=0.62, avg_pckt=500, tot_time_avg_pckt=800)
tab:purple - (epsilon=0.62, avg_pckt=600, tot_time_avg_pckt=800)
tab:brown - (epsilon=0.8, avg_pckt=600, tot_time_avg_pckt=800)
tab:pink - (epsilon=0.8, avg_pckt=400, tot_time_avg_pckt=800)
tab:grey - (epsilon=0.8, avg_pckt=500, tot_time_avg_pckt=800)
tab:olive - (epsilon=0.62, avg_pckt=400, tot_time_avg_pckt=1200)
tab:cyan - (epsilon=0.62, avg_pckt=500, tot_time_avg_pckt=1200)
tab:blue - (epsilon=0.62, avg_pckt=600, tot_time_avg_pckt=1200)
tab:orange - (epsilon=0.8, avg_pckt=400, tot_time_avg_pckt=1200)
tab:green - (epsilon=0.8, avg_pckt=500, tot_time_avg_pckt=1200)
tab:red - (epsilon=0.8, avg_pckt=600, tot_time_avg_pckt=1200)
tab:purple - (epsilon=0.62, avg_pckt=800, tot_time_avg_pckt=600)
tab:brown - (epsilon=0.01, avg_pckt=400, tot_time_avg_pckt=600)
tab:pink - (epsilon=0.01, avg_pckt=400, tot_time_avg_pckt=800)
tab:grey - (epsilon=0.01, avg_pckt=400, tot_time_avg_pckt=1000)
tab:olive - (epsilon=0.01, avg_pckt=400, tot_time_avg_pckt=1200)
tab:cyan - (epsilon=0.01, avg_pckt=500, tot_time_avg_pckt=600)
tab:blue - (epsilon=0.01, avg_pckt=500, tot_time_avg_pckt=800)
tab:orange - (epsilon=0.01, avg_pckt=500, tot_time_avg_pckt=1000)
tab:green - (epsilon=0.01, avg_pckt=500, tot_time_avg_pckt=1200)
tab:red - (epsilon=0.01, avg_pckt=600, tot_time_avg_pckt=600)
tab:purple - (epsilon=0.01, avg_pckt=600, tot_time_avg_pckt=800)
tab:brown - (epsilon=0.01, avg_pckt=600, tot_time_avg_pckt=1000)
tab:pink - (epsilon=0.01, avg_pckt=600, tot_time_avg_pckt=1200)
tab:grey - (epsilon=0.01, avg_pckt=800, tot_time_avg_pckt=600)
tab:olive - (epsilon=0.01, avg_pckt=800, tot_time_avg_pckt=800)
tab:cyan - (epsilon=0.01, avg_pckt=800, tot_time_avg_pckt=1000)
